videoID,dataset,fold
0000 - Heico - Prokto - 1.avi,heico,1
0001 - Heico - Prokto - 2.avi,heico,1
0002 - Heico - Prokto - 3.avi,heico,1
0003 - Heico - Prokto - 4.avi,heico,1
0004 - Heico - Prokto - 5.avi,heico,1
0005 - Heico - Prokto - 6.avi,heico,1
0006 - Heico - Prokto - 7.avi,heico,1
0007 - Heico - Prokto - 8.avi,heico,1
0008 - Heico - Prokto - 9.avi,heico,1
0009 - Heico - Prokto - 10.avi,heico,1
0010 - Heico - Rektum - 1.avi,heico,1
0011 - Heico - Rektum - 2.avi,heico,1
0012 - Heico - Rektum - 3.avi,heico,1
0013 - Heico - Rektum - 4.avi,heico,1
0014 - Heico - Rektum - 5.avi,heico,1
0015 - Heico - Rektum - 6.avi,heico,1
0016 - Heico - Rektum - 7.avi,heico,1
0017 - Heico - Rektum - 8.avi,heico,1
0018 - Heico - Rektum - 9.avi,heico,1
0019 - Heico - Rektum - 10.avi,heico,1
0020 - Heico - Sigma - 1.avi,heico,1
0021 - Heico - Sigma - 2.avi,heico,1
0022 - Heico - Sigma - 3.avi,heico,1
0023 - Heico - Sigma - 4.avi,heico,1
0024 - Heico - Sigma - 5.avi,heico,1
0025 - Heico - Sigma - 6.avi,heico,1
0026 - Heico - Sigma - 7.avi,heico,1
0027 - Heico - Sigma - 8.avi,heico,1
0028 - Heico - Sigma - 9.avi,heico,1
0029 - Heico - Sigma - 10.avi,heico,1
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0001 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0002 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0004 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0005 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0006 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0007 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0008 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0009 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0010 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0011 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0013 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0014 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0016 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0017 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0018 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0019 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0020 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0023 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0024 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0026 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0027 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0028 - Laparoscopic Cholecystectomy.mp4,lapchole,0
