videoID,dataset,fold
0000 - Heico - Prokto - 1.avi,heico,4
0001 - Heico - Prokto - 2.avi,heico,0
0002 - Heico - Prokto - 3.avi,heico,1
0003 - Heico - Prokto - 4.avi,heico,0
0004 - Heico - Prokto - 5.avi,heico,4
0005 - Heico - Prokto - 6.avi,heico,4
0006 - Heico - Prokto - 7.avi,heico,2
0007 - Heico - Prokto - 8.avi,heico,3
0008 - Heico - Prokto - 9.avi,heico,2
0009 - Heico - Prokto - 10.avi,heico,1
0010 - Heico - Rektum - 1.avi,heico,4
0011 - Heico - Rektum - 2.avi,heico,1
0012 - Heico - Rektum - 3.avi,heico,0
0013 - Heico - Rektum - 4.avi,heico,4
0014 - Heico - Rektum - 5.avi,heico,2
0015 - Heico - Rektum - 6.avi,heico,0
0016 - Heico - Rektum - 7.avi,heico,3
0017 - Heico - Rektum - 8.avi,heico,3
0018 - Heico - Rektum - 9.avi,heico,3
0019 - Heico - Rektum - 10.avi,heico,4
0020 - Heico - Sigma - 1.avi,heico,1
0021 - Heico - Sigma - 2.avi,heico,2
0022 - Heico - Sigma - 3.avi,heico,2
0023 - Heico - Sigma - 4.avi,heico,1
0024 - Heico - Sigma - 5.avi,heico,0
0025 - Heico - Sigma - 6.avi,heico,3
0026 - Heico - Sigma - 7.avi,heico,2
0027 - Heico - Sigma - 8.avi,heico,3
0028 - Heico - Sigma - 9.avi,heico,1
0029 - Heico - Sigma - 10.avi,heico,0
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0001 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0002 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0004 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0005 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0006 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0007 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0008 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0009 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0010 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0011 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0013 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0014 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0016 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0017 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0018 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0019 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0020 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0023 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0024 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0026 - Laparoscopic Cholecystectomy.mp4,lapchole,3
0027 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0028 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0029 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0030 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0032 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0033 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0034 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0036 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0037 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0039 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0040 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0041 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0042 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0043 - Laparoscopic Cholecystectomy.mp4,lapchole,4
0044 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0045 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0048 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0049 - Laparoscopic Cholecystectomy.mp4,lapchole,4
